"","weight","mu","sig","VaR.daily","Alpha","Beta","R-squared","Tracking Error","Active Premium","Information Ratio","Treynor Ratio"
"RJF",0.180580479402973,0.166166613145911,0.307754284649232,-31918.3098204665,0,1.3151,0.5432,0.215,0.0019,0.0086,0.0959
"MTD",0.25895685923518,0.24279332046014,0.252074161550941,-26149.0476249455,4e-04,1.0029,0.4709,0.1834,0.1105,0.6024,0.234
"UNH",0.284885865269741,0.248358653284121,0.262046649351534,-27184.564128308,5e-04,1.0153,0.4466,0.1949,0.114,0.5849,0.2347
"SNPS",0.22040022218062,0.271040610839896,0.263539161323567,-27341.9211394682,5e-04,1.1026,0.5207,0.1833,0.142,0.7744,0.2414
"GOOGL",0.0557686096196454,0.211707459496593,0.260230540886083,-26992.1598434786,3e-04,1.1001,0.5317,0.1789,0.0704,0.3934,0.1769
"POOL",0.242852536958059,0.276724458275749,0.26844463344227,-27851.7034065991,6e-04,0.875,0.3161,0.223,0.147,0.659,0.31
"ACN",0.165887791695083,0.20671440441611,0.233053681180871,-24171.8230828319,3e-04,1.0629,0.6189,0.1443,0.0724,0.5017,0.185
"MSCI",0.460232022606781,0.340039972841821,0.286851480436001,-29769.8372274548,7e-04,1.1598,0.4864,0.2074,0.2238,1.079,0.3001
"ORLY",0.0552190289958033,0.196264116937032,0.272680615148166,-28282.3569195226,3e-04,0.8752,0.3065,0.2281,0.0474,0.2078,0.1961
"TMO",-0.00978148857876056,0.211055414518583,0.240122763427799,-24905.6899481906,4e-04,0.8917,0.4102,0.1853,0.0755,0.4073,0.224
"TSCO",-0.0502849589743048,0.165023802498788,0.284728300240362,-29528.8687901396,2e-04,0.8248,0.2496,0.2485,0.0079,0.0317,0.1602
"DLTR",-0.124186567249751,0.122420162374962,0.321858282892938,-33376.17422711,1e-04,0.7781,0.1739,0.295,-0.052,-0.1763,0.0928
"HD",0.166086369567356,0.223378127595395,0.238961377131683,-24786.4011756184,3e-04,1.0252,0.5476,0.1608,0.0901,0.5601,0.209
"REGN",-0.184309401162249,0.0983894125364734,0.33506032728467,-34742.7881277128,-1e-04,0.843,0.1883,0.3031,-0.0808,-0.2667,0.0515
"RMD",0.0401750692305988,0.222912160933746,0.298749912720609,-30990.9080016771,4e-04,0.9149,0.279,0.2541,0.0697,0.2743,0.212
"STE",0.113688559643509,0.20740832439334,0.238920214174699,-24780.5596250249,4e-04,0.8935,0.4161,0.1835,0.0715,0.3894,0.219
"PAYX",-0.144907711179945,0.169579627334522,0.23886513339054,-24771.1259932121,1e-04,1.0652,0.5917,0.153,0.0267,0.1742,0.1417
"APH",-0.158854905513807,0.168585256856748,0.233063954481695,-24169.2317219915,1e-04,1.0779,0.6363,0.1412,0.0273,0.1935,0.1406
"CTRA",-0.0853584610302847,-0.0308812658261489,0.373816108474334,-38744.7085874492,-6e-04,0.8171,0.1422,0.3477,-0.2201,-0.6331,-0.1173
"CHD",0.312832357870298,0.155785142435921,0.205658810452544,-21325.4131435122,4e-04,0.4879,0.1674,0.2074,0.0198,0.0955,0.2953
"SHW",0.00899238811753777,0.202489456508223,0.249396277309124,-25867.015077576,3e-04,0.938,0.4208,0.1901,0.0622,0.3269,0.1987
"CDNS",0.106681386577583,0.294898269988747,0.295403516107712,-30652.3421229271,6e-04,1.1676,0.4648,0.218,0.1613,0.7396,0.2445
"CDW",0.253393757690061,0.258465150572814,0.283871345542712,-29450.8705657213,4e-04,1.1479,0.4865,0.205,0.1191,0.5811,0.212
"CTSH",-0.396638533438454,0.0796176859825145,0.286427200494977,-29695.0799543162,-3e-04,1.1256,0.4594,0.2117,-0.0855,-0.4037,0.0345
"MKC",0.108466589467891,0.155214151378124,0.216524965170161,-22452.4148048951,3e-04,0.6309,0.2526,0.1977,0.0164,0.0831,0.223
"ROP",-0.0142025787633797,0.169258960076961,0.232922468759048,-24154.6191850233,2e-04,0.9898,0.5372,0.1585,0.0282,0.1781,0.1541
"MCO",-0.423217716794931,0.204147614933304,0.268897817312916,-27890.7086455713,2e-04,1.2228,0.6152,0.1712,0.0583,0.3408,0.1493
"JKHY",-0.118694520685015,0.156510584517753,0.216559523410896,-22456.1148262652,2e-04,0.7804,0.3864,0.1738,0.0179,0.1028,0.1821
"TYL",0.121393907805257,0.229463383053671,0.278184152562211,-28857.2441151822,5e-04,0.8638,0.2868,0.2361,0.0855,0.3623,0.2429
"VRSK",-0.258725678836485,0.161132221167009,0.224518870706552,-23282.128673474,2e-04,0.8833,0.4605,0.1661,0.0211,0.1271,0.1646
"FAST",-0.131110287609303,0.131677535377533,0.266195555133002,-27602.3658679163,0,0.9891,0.4107,0.2044,-0.0231,-0.1131,0.1023
"ICE",-0.0791160050954009,0.165307569442196,0.226556629563206,-23493.8934608984,2e-04,0.8413,0.4102,0.1761,0.0254,0.1441,0.1779
"CTAS",0.38985081932283,0.259143464526945,0.268058305186343,-27809.6636371733,4e-04,1.1341,0.5325,0.1847,0.1253,0.6783,0.22
"TFC",-0.1996102187803,0.0929608892237642,0.314001273596643,-32557.1249225021,-3e-04,1.2641,0.4822,0.2305,-0.0803,-0.3482,0.0348
"AMT",-0.0710478077385903,0.162803100120495,0.238446338635396,-24727.0159000208,2e-04,0.8077,0.3413,0.1963,0.0194,0.0988,0.1779
"VLO",-0.0354394781937778,0.101211742181515,0.398618506509435,-41339.4082723326,-3e-04,1.343,0.3377,0.3298,-0.1025,-0.3107,0.0162
"EVRG",-0.0283933411543377,0.11183274061464,0.235886395304538,-24456.5128165034,1e-04,0.7033,0.2644,0.2087,-0.037,-0.1774,0.124
"DG",0.194871472377677,0.178375127581621,0.254492705444545,-26393.2851109234,4e-04,0.5982,0.1644,0.2427,0.0325,0.1341,0.2621
"FRC",0.0862013573341677,0.162267578387328,0.283688735426907,-29420.6831007683,1e-04,1.048,0.406,0.2188,0.0051,0.0235,0.1235
"IDXX",0.0410666107124578,0.283391002075204,0.296593059462285,-30774.4334629773,6e-04,0.9671,0.3163,0.2453,0.1457,0.5938,0.2791
"ANSS",-0.553027105410046,0.189809743593604,0.277340500516041,-28765.1615944725,1e-04,1.176,0.5349,0.1916,0.039,0.2034,0.1388
"BR",0.150056115765183,0.200521736132329,0.226422896130014,-23483.3023858881,3e-04,0.8755,0.4448,0.1701,0.0667,0.3924,0.2181
"TMUS",0.0491889712371479,0.182032761613392,0.280376100098863,-29079.2565678689,3e-04,0.868,0.2852,0.2381,0.0291,0.1223,0.1767
"MA",0.0496836243381424,0.222474315823072,0.27695745038582,-28729.1379719447,2e-04,1.2624,0.6181,0.177,0.0778,0.4397,0.1601
"MNST",-0.0385259874493944,0.179071199201686,0.296749633995639,-30777.9444118749,2e-04,0.8816,0.2626,0.2556,0.0211,0.0826,0.1649
"CHTR",0.228739591610308,0.210587753151107,0.279179095024962,-28958.3324381072,4e-04,0.8214,0.2575,0.2425,0.0629,0.2592,0.2278
"PAYC",0.11495433784764,0.387157207427324,0.455986471347382,-47349.4483757485,8e-04,1.4641,0.3067,0.388,0.2028,0.5227,0.2234
"CMCSA",-0.106778706649633,0.110632956071962,0.241310313062871,-25018.9338837465,0,0.9054,0.4188,0.1847,-0.0394,-0.2133,0.0937
"DISCA",-0.00459539676972325,-0.0390834339586928,0.394081433304068,-40845.699697683,-6e-04,0.933,0.1668,0.3599,-0.2363,-0.6567,-0.1201
"PARA",-0.24429984542166,-0.0577212839888501,0.403745304003882,-41845.2046048913,-8e-04,1.0916,0.2175,0.3575,-0.2569,-0.7185,-0.1215
"Portfolio",1,0.620332743682434,0.302632329721633,-31443.4190590171,0,1,1,0,0,NA,0.1242
