GOOGL JD LUMN PARA PBR PFE XOM
116.505501 57.928448 10.277244 29.129993 10.286314 47.282806 88.534088
115.746498 54.241474 10.439919 27.355927 10.610353 47.858589 89.886955
112.511002 49.783939 10.669579 26.895258 9.977348 47.468224 82.799126
114.394997 50.378925 10.238968 26.875654 10.143135 48.297752 83.348114
113.602501 48.603718 10.152845 26.160145 10.610353 48.258709 85.083313
112.844002 47.47226 10.975791 26.58161 10.640495 49.577095 85.469559
116.050499 50.281384 11.09062 27.787191 10.93439 49.114677 88.004921
114.445 50.261879 11.167173 27.463741 11.190605 49.852577 90.074806
116.473 52.349213 11.377694 31.678375 11.424213 50.511768 91.223648
111.899498 49.939999 10.908807 30.923664 11.115248 49.586937 89.777702
110.384003 52.779999 10.870529 31.580364 11.356392 49.832901 90.262985
108.907997 52.169998 10.583456 31.992023 11.620144 51.623543 90.976051
111.487999 53.330002 10.956653 32.433094 12.253148 52.026928 92.986519
105.970001 49.580002 11.368125 31.168699 11.787608 52.548374 93.491615
105.805 50.189999 11.444678 31.707779 12.052685 52.843536 95.373329
107.792503 52.720001 11.770028 31.75679 12.259775 53.119022 95.71006
112.316498 53.68 12.209573 33.236813 11.812459 53.04031 96.650909
113.762001 56.119999 11.955613 33.648476 11.497681 52.184345 95.076218
113.891998 55.790001 11.682119 31.707779 11.456263 51.52515 96.898506
117.622498 58 11.545372 30.806047 11.389994 51.830154 96.730141
114.541 56.52 11.369555 30.188553 11.74619 52.341766 98.136475
116.820503 60.209999 11.457462 29.816097 11.613652 52.400795 97.888885
117.149498 61.740002 11.574676 29.953316 11.514248 53.089504 102.375298
117.194 66.470001 11.398857 30.129744 11.423128 52.60741 103.583549
114.835503 61.400002 11.183969 28.571308 11.191187 50.944672 101.345306
111.161499 61.509998 11.008151 27.532352 10.942677 49.163876 99.493294
106.392502 58.93 10.256041 25.297615 10.429092 47.137104 94.927658
106.7155 62.509998 10.34395 25.13932 10.528496 47.146938 95.175255
109.764503 64.32 10.256041 25.376764 10.569915 47.727425 93.976898
106.033501 62.009998 9.943477 23.991678 10.006627 46.714043 90.510574
107.143501 65.230003 10.148597 24.298374 9.617296 45.779366 85.29129
111.543999 63.650002 10.539303 24.33795 9.567595 47.333878 90.599716
111.487503 61.419998 10.34395 24.179653 9.484758 48.278389 87.014549
112.241997 61.900002 10.695585 24.258802 9.194832 49.281933 84.390045
117.974998 64.010002 11.008151 25.485592 9.070577 50.75774 86.063782
115.833504 65.620003 11.105827 25.703249 9.758118 51.043056 88.173286
112.0075 64.540001 10.988615 25.287722 9.849238 49.842739 90.619514
111.7015 64.849998 10.978848 24.812836 9.799537 50.118221 87.272049
108.962997 64.220001 10.656515 24.417097 9.675282 51.584187 84.81591
108.737503 65.949997 10.881171 24.94145 9.741551 51.466125 86.707535
113.263 64.730003 10.822565 24.921665 9.393639 50.806931 83.993889
114.571999 61.759998 10.607677 24.793049 9.194832 51.899021 82.478615
118.782997 63.130001 10.695585 25.6241 9.575879 52.558212 85.113022
119.3535 62.009998 10.558839 25.287722 9.766402 52.312248 85.251678
115.676498 59.59 10.441627 23.912529 9.567595 52.036766 84.81591
114.0205 60.16 10.597909 24.822729 9.302518 51.200481 83.686874
111.3535 61.700001 10.519768 24.753475 9.393639 50.95451 84.023605
110.3675 61.040001 10.38302 23.863064 9.029159 50.560963 82.339966
111.777496 60.259998 10.519768 24.733688 9.302518 50.915157 83.726494
109.029999 62.049999 10.529535 24.258802 9.501326 49.931286 85.271477
113.809998 62.779999 10.783495 24.783155 9.658714 50.541286 87.420593
113.900002 62.619999 10.793262 25.732929 9.633863 50.00016 88.381264
114.339996 64.010002 10.207203 25.742823 9.501326 50.295315 86.905602
107.900002 61.580002 10.304879 25.000813 9.642148 50.403542 86.24205
107.510002 62.98 10.38302 25.070066 10.26342 50.934834 89.114151
105.019997 62.970001 10.490464 23.882849 10.44566 51.456284 88.767509
113.059998 63.32 10.715121 24.268696 10.727303 51.111931 90.688843
114.220001 62.130001 10.617444 24.090612 11.091784 50.288986 91.74855
116.32 59.5 10.63698 23.398067 11.829026 50.080769 95.997269
114.860001 58.759998 10.773726 23.892742 11.679921 50.17992 93.570847
115.129997 59.73 10.519768 24.209333 11.464546 49.267735 93.164787
118.080002 61.130001 10.890939 24.773262 11.398277 49.436291 90.144135
118.190002 63.349998 10.588141 25.040384 11.721338 49.436291 86.350998
117.470001 61.91 10.431859 24.001572 11.969848 48.851307 87.598862
117.300003 58.84 10.715121 24.94145 12.707091 49.148758 88.094055
116.629997 57.080002 10.617444 24.426991 12.789927 49.356972 89.718269
119.699997 55.5 10.63698 24.822729 12.872764 49.525528 90.57
118.839996 56.939999 10.890939 25.525166 12.500001 47.879635 93.190002
121.68 57.049999 10.96908 25.911013 13.62 49.68417 94
122.080002 57.98 10.812798 26.277069 13.68 49.327229 92.32
121.699997 57.290001 10.998384 26.910254 13.73 49.436291 91.459999
119.550003 56.150002 10.80303 26.019838 14.05 48.851307 92.199997
120.169998 55.189999 10.783495 25.693354 14.21 48.167171 94.379997
117.209999 54.700001 10.80303 25.6241 13.66 48.732327 94.080002
114.239998 55.32 10.461162 24.298374 13.93 48.484451 94.010002
113.860001 57.200001 10.627213 24.239014 14.62 47.602013 98
113.690002 59.439999 10.656515 24.743582 14.69 47.026943 98.580002
116.650002 64.910004 10.793262 25.663675 14.58 47.49295 99.089996
110.339996 63.459999 10.51 24.634752 14.74 46.422127 97.870003
109.419998 62.32 10.29 24.080719 15.13 45.837139 100.120003
108.940002 61.509998 10.05 23.803701 14.23 45.460369 96.309998
108.220001 63.490002 9.96 23.140839 14.29 44.845638 95.589996
109.739998 63.110001 10.07 23.210093 14.44 46.233742 93.870003
107.849998 61.290001 9.85 22.873716 14.44 45.311646 95.589996
106.809998 59.349998 9.67 22.656057 13.74 45.371132 94.949997
109.449997 59.880001 9.78 22.715418 13.77 45.737991 94.139999
108.379997 59.91 9.66 22.468081 13.63 46.679916 94.910004
110.650002 60.41 9.97 23.407963 13.8 47.433456 96.5
110.860001 61.790001 10.07 24.001572 13.9 47.354137 97.610001
104.32 57.43 9.15 22.290001 13.24 45.797478 95.330002
105 57.400002 8.95 21.92 13.42 45.75782 97.669998
102.910004 57.650002 8.96 23.049999 13.24 45.549603 94.830002
102.800003 55.369999 8.8 22.73 13.1 45.63884 93.209999
103.07 56.82 8.82 23.1 13.52 45.053852 93.199997
101.139999 56.799999 8.56 22.610001 13.54 44.389545 92.440002
99.279999 53.93 8.46 21.4 13.43 43.546768 90.949997
100.139999 53.470001 8.32 20.870001 13.82 44.191246 90.57
98.739998 52.310001 8.13 20.17 12.55 43.705414 85.75
98.169998 53.34 7.71 19.66 12.16 43.457535 83.980003
97.5 52.66 7.6 19.4 12.25 43.715324 85.739998
100.050003 52.93 7.82 19.83 12.26 44.052437 88.860001
97.419998 51.25 7.38 18.950001 12.14 43.784729 88.68
95.650002 50.299999 7.28 19.040001 12.34 43.388126 87.309998
98.639999 49.52 7.78 19.620001 13.9 43.7649 91.919998
101.639999 52.040001 8.04 20.07 13.67 44.08218 95.269997
101.43 52.98 7.28 19.57 14.11 43.745068 99.120003
101.419998 51.66 6.93 19.129999 14.51 42.723824 102.059998
98.68 49.91 6.7 18.65 14.35 41.960365 101.029999
97.860001 47.580002 6.51 18.559999 14.24 41.39521 98.839996
97.18 46.27 6.67 18.24 14 41.563763 98
97.559998 46.400002 6.63 18.540001 13.89 41.672829 98.43
99.059998 45.049999 6.84 19.15 14.43 42.614758 101.870003
96.559998 42.330002 6.72 18.77 13.95 42.495777 99.190002
99.970001 44.439999 6.88 19.290001 13.98 43.279064 100.620003
100.769997 44.669998 7.08 19.59 14.35 43.715324 100.800003
99.629997 41.220001 6.85 19.08 14.87 42.743652 103.790001
99.970001 42.16 6.7 19.110001 15.44 42.545353 103.93
101.129997 42.150002 6.66 19.219999 16.049999 44.568016 105.860001
102.519997 36.66 6.75 19.09 14.19 45.153004 106.599998
104.480003 37.77 6.92 19.67 13.92 45.202579 105.879997
94.93 41.040001 7.06 19.34 13.53 45.668587 107.139999
92.220001 39.5 6.97 18.4 13.69 45.351307 107.550003
96.290001 37.860001 7.34 19.02 13.45 47.026943 110.699997
94.510002 37.290001 7.36 18.32 12.82 46.154419 110.809998
90.470001 38.439999 7.43 19.17 13.03 47.602013 111.910004
86.970001 39.84 7.05 16.790001 12.75 46.670002 109.610001
83.43 40.439999 5.8 16.209999 13.05 46.57 111.099998
86.580002 44.380001 5.92 15.57 12.65 47.220001 112.309998
